shot,a4,resid_rms
11707_cv,4.0,0.0025719688273966312
11707_cv,5.0,0.002572078490629792
11707_cv,6.0,0.002572176745161414
11707_cv,7.0,0.002572129014879465
11707_cv,8.0,0.0025721148122102022
11707_cv,9.0,0.002640089951455593
11707_cv,10.0,0.0026088182348757982
11707_cv,11.0,0.002580213826149702
11707_cv,12.0,0.00254039210267365
11707_cv,13.0,0.0025192401371896267
11707_cv,14.0,0.0025041569024324417
11707_cv,15.0,0.0024937987327575684
11707_cv,16.0,0.0024868096224963665
11707_cv,17.0,0.0024822226259857416
11707_cv,18.0,0.0024794857017695904
11707_cv,19.0,0.002477813744917512
11707_cv,20.0,0.002477775327861309
11707_cv,21.0,0.0024795911740511656
11707_cv,22.0,0.0024824547581374645
11707_cv,23.0,0.0024858624674379826
11707_cv,24.0,0.0024898515548557043
11707_cv,25.0,0.002494270447641611
11707_cv,26.0,0.0024990555830299854
11707_cv,27.0,0.0025029312819242477
11707_cv,28.0,0.0025102049112319946
11707_cv,29.0,0.0025164897087961435
11707_cv,30.0,0.0025228343438357115
11707_cv,31.0,0.00252899550832808
11707_cv,32.0,0.0025349522475153208
11707_cv,33.0,0.0025407662615180016
11707_cv,34.0,0.002546465490013361
11707_cv,35.0,0.002552111865952611
11707_cv,36.0,0.002557546366006136
11707_cv,37.0,0.00256347400136292
11707_cv,38.0,0.0025724624283611774
11707_cv,39.0,0.0025725802406668663
11707_cv,40.0,0.0025726959574967623
11707_cv,41.0,0.0025728153996169567
11707_cv,42.0,0.0025729178451001644
11707_cv,43.0,0.0025730233173817396
11707_cv,44.0,0.0025731639470905066
11707_cv,45.0,0.0025733155198395252
11707_cv,46.0,0.0025734566152095795
11707_cv,47.0,0.0025735755916684866
11707_cv,48.0,0.0025736603420227766
11707_cv,49.0,0.002573542296886444
11707_ch,1.0,0.0027590186800807714
11707_ch,2.0,0.0027722972445189953
11707_ch,3.0,0.002781969727948308
11707_ch,4.0,0.0027873434592038393
11707_ch,5.0,0.0027873856015503407
11707_ch,6.0,0.0027874098159372807
11707_ch,7.0,0.0027874168008565903
11707_ch,8.0,0.0027874093502759933
11707_ch,9.0,0.0027874044608324766
11707_ch,10.0,0.0029650393407791853
11707_ch,11.0,0.0029297496657818556
11707_ch,12.0,0.002898256992921233
11707_ch,13.0,0.0028626725543290377
11707_ch,14.0,0.0028424598276615143
11707_ch,15.0,0.0028252534102648497
11707_ch,16.0,0.0028100707568228245
11707_ch,17.0,0.0027965144254267216
11707_ch,18.0,0.002784601878374815
11707_ch,19.0,0.002774353139102459
11707_ch,20.0,0.002765604527667165
11707_ch,21.0,0.00275808060541749
11707_ch,22.0,0.0027514861430972815
11707_ch,23.0,0.002745552221313119
11707_ch,24.0,0.00274009071290493
11707_ch,25.0,0.0027350482996553183
11707_ch,26.0,0.0027305169496685266
11707_ch,27.0,0.0027266647666692734
11707_ch,28.0,0.0027233401779085398
11707_ch,29.0,0.0027213492430746555
11707_ch,30.0,0.002719791606068611
11707_ch,31.0,0.002718595555052161
11707_ch,32.0,0.0027175587601959705
11707_ch,33.0,0.0027190556284040213
11707_ch,34.0,0.002719038398936391
11707_ch,35.0,0.002719874493777752
11707_ch,36.0,0.002719828626140952
11707_ch,37.0,0.0027206444647163153
11707_ch,38.0,0.0027229071129113436
11707_ch,39.0,0.002725867787376046
11707_ch,40.0,0.0027281283400952816
11707_ch,41.0,0.002731137676164508
11707_ch,42.0,0.0027351186145097017
11707_ch,43.0,0.002739398507401347
11707_ch,44.0,0.0027435626834630966
11707_ch,45.0,0.002747243968769908
11707_ch,46.0,0.0027503997553139925
11707_ch,47.0,0.0027532458771020174
11707_ch,48.0,0.0027557569555938244
